,isFraud
TransactionID,0.014165772702318263
isFraud,1.0
TransactionDT,0.01310305499304759
TransactionAmt,0.011319825333215454
card1,-0.013639969873036693
card2,0.003356889362927755
card3,0.1540015525648516
card5,-0.0334046953792925
C1,0.03056975965123962
C2,0.037228939531000003
C3,-0.006833173826653574
C4,0.03038213630507676
C5,-0.030753966713253412
C6,0.020908983553783348
C7,0.028160291640635573
C8,0.03213871315829315
C9,-0.03170341586419421
C10,0.028395987456790915
C11,0.027483734598873506
C12,0.03190528171122748
C13,-0.011145752229047992
C14,0.007920558690607982
D1,-0.06710132569611277
V95,-0.004120741284214248
V96,-0.00548636740702362
V97,-0.004492175826489723
V98,0.027294318745676328
V99,-0.013191315801263037
V100,0.011265386879036995
V101,-0.004712588435959007
V102,-0.004848468422184218
V103,-0.005121396278812238
V104,0.0034759900109934566
V105,-0.0032325865762312463
V106,-0.002095337656449282
V107,0.002553651476602848
V108,0.09675182402138498
V109,0.0609625815633548
V110,0.08159203738889431
V111,0.12155811806944378
V112,0.10516574563982631
V113,0.11592614896657961
V114,0.0960421131310429
V115,0.05707512333500333
V116,0.08060436170913622
V117,0.04941786041644094
V118,0.04058287359009025
V119,0.048113850171653656
V120,0.019668963274609992
V121,0.012320976925403111
V122,0.01870243583246218
V123,0.1381572684847682
V124,0.07667502378452283
V125,0.11194258554317713
V126,-0.003547199868054274
V127,-0.0026319728379429544
V128,-0.0019332249929816727
V129,0.012721127484963695
V130,0.003058490572733243
V131,0.024953578041892348
V132,-0.004263912497448193
V133,-0.0031670156651455077
V134,-0.0035133905867866595
V135,-0.00027940470067505435
V136,-4.699716435451823e-05
V137,-0.00011894809061062569
V279,-0.0037517509154543767
V280,-0.0007831787096360231
V281,0.0725416189813406
V282,0.10400565423696817
V283,0.11260593102773221
V284,0.03530380879038018
V285,-0.009132405794585281
V286,0.0044060450975094015
V287,0.020411018475699653
V288,0.035267683952543497
V289,0.04256889768027573
V290,0.04014509082303416
V291,0.02043904548526723
V292,0.02677631475889137
V293,-0.004501259228287995
V294,0.004239452417921762
V295,-0.0016821783189570473
V296,0.004154350512803245
V297,0.0025274103683594184
V298,0.0012928052437077395
V299,-0.00030909740150611594
V300,0.025285513311928427
V301,0.03204754457313889
V302,0.1328892483661203
V303,0.12427394922825169
V304,0.1314841190692171
V305,-0.000495579039762147
V306,-0.001863928023314255
V307,0.005946478884861773
V308,0.003252015971777964
V309,0.020253475909123422
V310,0.011065626247111535
V311,0.0012994967217926522
V312,0.03757302579658982
V313,0.04144260963199115
V314,0.038486212594340395
V315,0.04823826443033956
V316,-0.0029608458999196025
V317,0.005008618303745838
V318,0.0009962422218274718
V319,5.99519480776913e-05
V320,0.004959353487048786
V321,0.0016759528624691574
